"TrackNum2_primary","n"
"1600255",3
"1600256",20
"1600259",22
"1600261",22
"1600262",28
"1600264",3
"1600266",3
"1600271",24
"1600272",34
"1600276",22
"1600279",8
"1600280",25
"1600281",8
"1600283",22
"1600284",22
"1600287",22
"1600288",22
"1600289",22
"1600291",22
"1600292",22
"1600293",20
"1600294",22
"1600295",22
"1600298",3
"1600299",22
"1600300",28
"1600301",22
"1600302",25
"1600304",3
"1600306",4
"1600308",22
"1600309",27
"1600310",23
"1600311",22
"1600314",22
"1600315",23
"1600317",22
"1600319",22
"1600322",22
"1600323",22
"1600325",8
"1600326",22
"1600328",22
"1600329",24
"1600333",17
"1600334",22
"1600338",23
"1600339",5
"1600341",18
"1600343",20
"1600346",22
"1600351",34
"1600353",17
"1600354",9
"1600356",5
"1600358",22
"1600361",8
"1600363",3
"1600364",22
"1600368",22
"1600369",5
"1600373",5
"1600376",22
"1600378",27
"1600380",23
"1600383",1
"1600384",22
"1600385",3
"1600388",22
"1600392",22
"1600393",22
"1600397",22
"1600400",36
"1600401",8
"1600404",8
"1600406",28
"1600408",8
"1600410",22
"1600412",3
"1600413",23
"1600415",3
"1600419",23
"1600422",8
"1600423",3
"1600424",8
"1600425",3
"1600429",22
"1600433",24
"1600435",8
"1600440",8
"1600447",22
"1600449",22
"1600455",8
"1600457",22
"1600460",22
"1600465",22
"1600466",3
"1600469",22
"1600470",3
"1600472",22
"1600476",27
"1600480",3
"1600482",6
"1600483",2
"1600486",6
"1600493",34
"1600500",6
"1600503",22
"1600504",31
"1600506",2
"1600511",28
"1600513",22
"1600516",23
"1600518",6
"1600521",3
"1600523",27
"1600524",27
"1600525",22
"1600527",6
"1600534",22
"1600537",3
"1600538",6
"1600539",22
"1600540",22
"1600543",20
"1600550",20
"1600553",6
"1600558",32
"1600559",22
"1600561",4
"1600562",25
"1600565",27
"1600566",3
"1600569",22
"1600572",8
"1600574",24
"1600575",8
"1600583",27
"1600584",28
"1600585",8
"1600586",2
"1600590",3
"1600593",22
"1600596",29
"1600601",23
"1600603",27
"1600605",13
"1600608",23
"1600609",9
"1600611",3
"1600615",8
"1600616",8
"1600620",23
"1600621",27
"1600622",22
"1600624",3
"1600625",13
"1600626",8
"1600627",8
"1600628",23
"1600629",27
"1600630",22
"1600631",1
"1600633",8
"1600634",3
"1600635",22
"1600636",8
"1600637",23
"1600638",3
"1600641",22
"1600642",23
"1600643",23
"1600646",6
"1600650",22
"1600651",22
"1600654",8
"1600656",3
"1600658",8
"1600661",8
"1600663",18
"1600667",10
"1600668",22
"1600669",9
"1600670",8
"1600671",8
"1600672",2
"1600673",23
"1600674",4
"1600675",6
"1600676",19
"1600678",3
"1600679",8
"1600680",23
"1600681",4
"1600682",22
"1600683",20
"1600684",8
"1600685",30
"1600690",4
"1600693",22
"1600694",9
"1600695",21
"1600697",22
"1600698",22
"1600700",8
"1600703",6
"1600705",23
"1600706",3
"1600707",24
"1600709",8
"1600710",22
"1600711",19
"1600712",26
"1600715",25
"1600717",8
"1600718",24
"1600720",23
"1600721",20
"1600723",22
"1600724",8
"1600726",8
"1600727",23
"1600728",23
"1600732",9
"1600733",11
"1600736",22
"1600737",8
"1600738",23
"1600740",30
"1600741",23
"1600743",24
"1600748",9
"1600750",22
"1600751",22
"1600754",23
"1600756",24
"1600758",22
"1600762",32
"1600766",36
"1600767",3
"1600768",22
"1600772",22
"1600774",20
"1600775",8
"1600776",1
"1600777",27
"1600780",1
"1600782",22
"1600784",21
"1600785",23
"1600786",28
"1600787",23
"1600789",9
"1600791",27
"1600795",23
"1600796",8
"1600797",27
"1600798",22
"1600800",28
"1600802",23
"1600804",34
"1600805",30
"1600806",1
"1600808",23
"1600809",22
"1600810",8
"1600815",8
"1600820",27
"1600822",23
"1600832",8
"1600834",9
"1600835",24
"1600839",23
"1600843",22
"1600845",9
"1600847",21
"1600850",3
"1600851",29
"1600858",29
"1600863",4
"1600871",29
"1600874",24
"1600875",3
"1600880",22
"1600881",24
"1600882",4
"1600883",9
"1600890",2
"1600892",22
"1600894",4
"1600895",22
"1600896",22
"1600903",2
"1600910",27
"1600911",22
"1600912",3
"1600913",21
"1600916",24
"1600918",3
"1600919",28
"1600920",28
"1600921",6
"1600923",4
"1600924",3
"1600926",23
"1600929",21
"1600930",8
"1600931",2
"1600933",20
"1600934",5
"1600935",23
"1600939",3
"1600940",9
"1600941",6
"1600943",22
"1600945",20
"1600949",22
"1600957",29
"1600959",3
"1600962",23
"1600963",32
"1600964",8
"1600965",23
"1600972",23
"1600973",22
"1600974",29
"1600979",23
"1600981",31
"1600983",1
"1600985",9
"1600986",9
"1600987",7
"1600988",22
"1600992",1
"1600994",23
"1600996",3
"1600998",22
"1601000",8
"1601002",23
"1601004",22
"1601006",1
"1601007",22
"1601008",13
"1601009",23
"1601012",22
"1601013",8
"1601014",22
"1601015",8
"1601016",22
"1601018",14
"1601021",7
"1601027",7
"1601029",22
