"Long","n"
-111.072487,1
-111.072204,1
-111.072086,1
-111.071689,1
-111.071668,1
-111.071529,2
-111.07148,1
-111.071376,1
-111.07,1
-111.069761,1
-111.0692,1
-111.069091,1
-111.069002,1
-111.068305,1
-111.067819,1
-111.066157,1
-111.066111,1
-111.0659771,1
-111.065977,2
-111.065753,1
-111.065307,1
-111.064275,1
-111.064256,1
-111.063554,1
-111.06322,1
-111.06269,1
-111.0623,1
-111.062053,1
-111.061933,1
-111.061781,1
-111.06171,1
-111.061111,1
-111.0611,1
-111.06068,1
-111.06045,1
-111.060252,1
-111.05967,1
-111.059645,1
-111.05943,1
-111.058652,1
-111.05845,1
-111.0580556,2
-111.057782,1
-111.05777,1
-111.057625,2
-111.057331,1
-111.057303,1
-111.057278,1
-111.057136,1
-111.056941,1
-111.056474,1
-111.056234,1
-111.056076,1
-111.055854,1
-111.055004,1
-111.054991,1
-111.054346,1
-111.053883,1
-111.05369,1
-111.053397,1
-111.052673,1
-111.052524,1
-111.0524589,1
-111.052458,1
-111.051641,1
-111.051354,1
-111.050774,2
-111.0507725,1
-111.050544,1
-111.05053,1
-111.0501639,1
-111.048138,1
-111.046521,1
-111.046518,1
-111.045635,1
-111.0452,1
-111.0451849,1
-111.044685,1
-111.044389,2
-111.04399,2
-111.043923,1
-111.043772,2
-111.043608,1
-111.04336,1
-111.042923,1
-111.042905,1
-111.042331,1
-111.04216,1
-111.04088,1
-111.040874,1
-111.04083,2
-111.040533,1
-111.040421,2
-111.039959,1
-111.03862,2
-111.037646,1
-111.035681,1
-111.0352,1
-111.03394,1
-111.0336,1
-111.0331,2
-111.031836,1
-111.031692,2
-111.03126,1
-111.0311719,1
-111.031017,1
-111.0306,1
-111.030442,1
-111.0304318,1
-111.029769,1
-111.028757,1
-111.028746,1
-111.02871,1
-111.028671,1
-111.02867,1
-111.028626,1
-111.028464,1
-111.028118,1
-111.0280306,2
-111.02768,1
-111.027613,1
-111.02757,1
-111.027076,1
-111.02701,1
-111.02687,1
-111.02675,1
-111.02568,1
-111.025118,1
-111.024203,2
-111.023638,2
-111.023465,1
-111.023209,1
-111.02286,1
-111.022263,1
-111.022247,1
-111.022148,1
-111.02202,1
-111.020833,1
-111.020006,1
-111.018799,1
-111.017296,1
-111.016216,1
-111.015525,1
-111.015069,1
-111.014701,1
-111.014171,1
-111.014149,1
-111.014107,1
-111.013369,1
-111.0122,1
-111.012046,3
-111.012013,1
-111.01199,1
-111.01108,1
-111.01103,1
-111.0110085,1
-111.011008,1
-111.01056,1
-111.009982,1
-111.0098957,1
-111.009895,1
-111.00965,1
-111.009592,1
-111.00912,1
-111.007817,1
-111.00773,1
-111.007485,1
-111.007238,2
-111.007118,1
-111.007074,1
-111.006126,1
-111.00592,2
-111.0041,1
-111.0038,1
-111.003395,1
-111.000298,1
-111.000269,2
-111.000023,1
-110.999948,1
-110.99932,1
-110.999194,1
-110.998931,1
-110.998783,1
-110.998778,1
-110.998692,1
-110.9974,1
-110.994243,1
-110.994084,1
-110.993997,1
-110.993133,1
-110.991402,1
-110.99091,1
-110.99064,2
-110.98969,1
-110.985904,1
-110.984437,1
-110.984,3
-110.983911,1
-110.980613,1
-110.980066,1
-110.9794439,1
-110.979264,2
-110.97136,2
-110.970351,1
-110.969244,1
-110.961132,1
-110.95897,1
-110.954683,1
-110.94968,1
-110.947459,1
-110.94448,1
-110.94021,1
-110.94004,1
-110.939926,1
-110.9371959,1
-110.931917,1
-110.929416,1
-110.92937,1
-110.927283,1
-110.925619,2
-110.92558,2
-110.923527,1
-110.923132,1
-110.919605,1
-110.91773,1
-110.91569,1
-110.913083,1
-110.911257,1
-110.910763,1
-110.910758,1
-110.910722,3
-110.910699,2
-110.91054,1
-110.909212,1
-110.9085787,1
-110.9085609,3
-110.907938,2
-110.9037167,1
-110.900528,1
-110.90026,1
-110.89911,1
-110.8988876,2
-110.897499,2
-110.89234,1
-110.890278,1
-110.88944,1
-110.886993,1
-110.885778,1
-110.88505,1
-110.8819032,1
-110.878411,1
-110.871753,1
-110.8679018,1
-110.864527,1
-110.864418,1
-110.8626531,1
-110.860947,1
-110.8607972,1
-110.854285,1
-110.847933,1
-110.847754,1
-110.8454,1
-110.844343,1
-110.843967,1
-110.841825,1
-110.8415,1
-110.836423,1
-110.83556,1
-110.835117,1
-110.835058,1
-110.834854,1
-110.831536,1
-110.831369,1
-110.83105,1
-110.830094,1
-110.8239,1
-110.823889,1
-110.821981,1
-110.820642,1
-110.819556,1
-110.819191,1
-110.813706,1
-110.809265,1
-110.808372,1
-110.807533,1
-110.80505,1
