"BatchID","n"
"R130911",1
"R130954",2
"R131002",1
"R131530",2
"R131548",2
"R131565",3
"R131581",1
"R131832",10
"R131848",4
"R131850",2
"R131853",3
"R131864",3
"R131914",4
"R131936",1
"R131944",1
"R132056",2
"R132079",2
"R132091",3
"R132108",1
"R132536",2
"R132540",2
"R132573",3
"R132575",1
"R132585",7
"R132626",3
"R132628",6
"R132638",1
"R132694",1
"R132752",2
"R132763",2
"R132764",3
"R132774",3
"R132786",14
"R132794",1
"R132796",1
"R132867",4
"R132884",1
"R132891",4
"R132894",6
"R132897",1
"R132909",15
"R132919",3
"R132930",4
"R132947",1
"R132959",1
"R133009",1
"R133064",2
"R133072",5
"R133077",1
"R133195",2
"R133200",2
"R133208",3
"R133246",5
"R133262",3
"R133274",1
"R133319",4
"R133325",1
"R133343",1
"R133372",2
"R133385",2
"R133403",3
"R133468",2
"R133488",1
"R134161",5
"R134176",2
"R134283",1
"R134326",5
"R134349",2
"R134370",3
"R134373",4
"R134384",1
"R134386",5
"R134387",1
"R134434",1
"R134523",3
"R134536",2
"R134541",3
"R134557",2
"R134568",1
"R134578",6
"R134611",1
"R134663",2
"R134710",1
"R134712",2
"R134719",6
"R134727",2
"R134766",6
"R134786",5
"R134828",2
"R134993",2
"R135008",6
"R135015",1
"R135165",6
"R135203",2
"R135219",1
"R135270",2
"R135280",6
"R135294",1
"R135302",5
"R135307",2
"R135314",6
"R135318",3
"R135341",2
"R135346",1
"R135381",2
"R135385",3
"R135390",3
"R135427",3
"R135429",5
"R135436",9
"R135443",1
"R135444",1
"R135454",2
"R135465",1
"R135467",6
"R135489",1
"R135499",3
"R135546",6
"R135547",3
"R135551",4
"R135552",1
"R135562",2
"R135568",1
"R135661",1
"R135663",2
"R135667",6
"R135672",3
"R135696",2
"R135708",3
"R135711",6
"R135720",3
"R135721",1
"R135743",2
"R135756",6
"R135760",3
"R135776",5
"R135792",2
"R135799",3
"R135821",2
"R135831",5
"R135848",6
"R135878",8
"R135881",18
"R135882",1
"R135885",9
"R135888",3
"R135889",3
"R135900",2
"R135912",6
"R135913",20
"R135926",12
"R135975",5
"R135987",8
"R136003",15
"R136014",4
"R136066",1
"R136067",15
"R136079",2
"R136307",2
"R136330",6
"R136362",1
"R136402",6
"R136588",3
"R136616",2
"R136619",3
"R136631",3
"R136645",2
"R136670",1
"R136674",4
"R136675",1
"R136676",1
"R136728",4
"R136737",6
"R136738",3
"R136747",1
"R136755",3
"R136783",3
"R136784",4
