"SampleID","n"
"B16040331-001",22
"B16040350-001",3
"B16040359-001",21
"B16040471-001",23
"B16040654-001",1
"B16040654-002",2
"B16040726-001",24
"B16040757-001",5
"B16040815-001",22
"B16040817-001",22
"B16040823-001",22
"B16040824-001",22
"B16040833-001",8
"B16040836-001",22
"B16040840-001",22
"B16040842-001",8
"B16040904-001",27
"B16040965-001",8
"B16040969-001",9
"B16040971-001",3
"B16040973-001",24
"B16041139-001",6
"B16041139-002",2
"B16041270-001",22
"B16041410-001",22
"B16041418-001",22
"B16041422-001",3
"B16041423-001",9
"B16041424-001",24
"B16041425-001",8
"B16041460-001",3
"B16041465-001",11
"B16041466-001",8
"B16041468-001",23
"B16041568-001",3
"B16041570-001",3
"B16041573-001",8
"B16041576-001",27
"B16041657-001",3
"B16041670-001",32
"B16041686-001",22
"B16041686-002",8
"B16041814-001",22
"B16041877-001",20
"B16041915-001",3
"B16041917-001",9
"B16041958-001",22
"B16042072-001",2
"B16042072-002",20
"B16042075-001",27
"B16042076-001",8
"B16042078-001",24
"B16042079-001",8
"B16042084-001",28
"B16042100-001",5
"B16042137-001",13
"B16042138-001",8
"B16042206-001",22
"B16042253-001",22
"B16050057-001",20
"B16050100-001",22
"B16050105-001",23
"B16050110-001",5
"B16050116-001",3
"B16050117-001",3
"B16050120-001",22
"B16050124-001",22
"B16050183-001",3
"B16050231-001",22
"B16050233-001",9
"B16050271-001",23
"B16050480-001",22
"B16050482-001",23
"B16050570-001",13
"B16050618-001",22
"B16050669-001",24
"B16050671-001",3
"B16050674-001",8
"B16050680-001",23
"B16050813-001",25
"B16050925-001",1
"B16050929-001",34
"B16050929-002",2
"B16051139-001",22
"B16051188-001",22
"B16051226-001",22
"B16051231-001",27
"B16051264-001",3
"B16051268-001",7
"B16051274-001",7
"B16051363-001",7
"B16051363-002",2
"B16051365-001",3
"B16051367-001",8
"B16051407-001",22
"B16051469-001",22
"B16051512-001",8
"B16051578-001",22
"B16051685-001",8
"B16051706-001",22
"B16051723-001",9
"B16051725-001",22
"B16051725-002",22
"B16051729-001",6
"B16051815-001",22
"B16051830-001",22
"B16051876-001",26
"B16051876-002",2
"B16051879-001",8
"B16052012-001",22
"B16052015-001",3
"B16052020-001",22
"B16052099-001",22
"B16052100-001",20
"B16052100-002",2
"B16052207-001",6
"B16052207-002",6
"B16060013-001",12
"B16060014-001",3
"B16060016-001",24
"B16060017-001",25
"B16060022-001",22
"B16060024-001",25
"B16060111-001",6
"B16060253-001",8
"B16060497-001",22
"B16060497-002",22
"B16060666-001",8
"B16060669-001",20
"B16060669-002",2
"B16060674-001",8
"B16060676-001",22
"B16060825-001",1
"B16060843-001",8
"B16060847-001",8
"B16060849-001",22
"B16060849-002",10
"B16060981-001",22
"B16060982-001",22
"B16060983-001",22
"B16060987-001",8
"B16061028-001",21
"B16061062-001",27
"B16061062-002",27
"B16061064-001",27
"B16061079-001",3
"B16061083-001",22
"B16061087-001",22
"B16061087-002",22
"B16061213-001",22
"B16061226-001",20
"B16061254-001",37
"B16061258-001",25
"B16061276-001",22
"B16061317-001",20
"B16061317-002",2
"B16061320-001",27
"B16061345-001",8
"B16061428-001",8
"B16061429-001",8
"B16061430-001",8
"B16061519-001",22
"B16061549-001",3
"B16061558-001",8
"B16061607-001",9
"B16061609-001",24
"B16061610-001",27
"B16061611-001",23
"B16061612-001",23
"B16061613-001",8
"B16061614-001",23
"B16061615-001",22
"B16061616-001",28
"B16061617-001",1
"B16061618-001",8
"B16061619-001",8
"B16061636-001",4
"B16061739-001",22
"B16061741-001",28
"B16061743-001",1
"B16061778-001",9
"B16061827-001",3
"B16061827-002",22
"B16061831-001",22
"B16061859-001",23
"B16062165-001",20
"B16062201-001",22
"B16062217-001",3
"B16062218-001",16
"B16062219-001",19
"B16062220-001",2
"B16062221-001",4
"B16062229-001",22
"B16062277-001",31
"B16062390-001",22
"B16062395-001",22
"B16062396-001",22
"B16062398-001",23
"B16062402-001",23
"B16062404-001",8
"B16062406-001",2
"B16062409-001",22
"B16062409-002",22
"B16062491-001",1
"B16062492-001",22
"B16062497-001",8
"B16070041-001",8
"B16070140-001",22
"B16070167-001",7
"B16070168-001",5
"B16070171-001",3
"B16070182-001",24
"B16070248-001",22
"B16070271-001",23
"B16070493-001",24
"B16070493-002",24
"B16070659-001",24
"B16070660-001",22
"B16070663-001",3
"B16070665-001",22
"B16070726-001",9
"B16070787-001",8
"B16070793-001",23
"B16070797-001",23
"B16070798-001",28
"B16070799-001",13
"B16070801-001",22
"B16070819-001",7
"B16070824-001",22
"B16070825-001",22
"B16070831-001",11
"B16070834-001",22
"B16070843-001",23
"B16070934-001",6
"B16070934-002",2
"B16070947-001",23
"B16071002-001",27
"B16071037-001",30
"B16071060-001",27
"B16071060-002",3
"B16071183-001",2
"B16071183-002",2
"B16071242-001",7
"B16071242-002",7
"B16071301-001",8
"B16071304-001",4
"B16071307-001",23
"B16071317-001",23
"B16071423-001",3
"B16071424-001",22
"B16071425-001",27
"B16071426-001",9
"B16071506-001",22
"B16071506-002",22
"B16071531-001",2
"B16071543-001",25
"B16071585-001",22
"B16071595-001",3
"B16071790-001",8
"B16071792-001",22
"B16071846-001",20
"B16071886-001",22
"B16071888-001",23
"B16071890-001",5
"B16072014-001",1
"B16072016-001",2
"B16072017-001",22
"B16072019-001",29
"B16072091-001",20
"B16072205-001",22
"B16072205-002",9
"B16072221-001",22
"B16072223-001",23
"B16080015-001",20
"B16080029-001",20
"B16080043-001",22
"B16080107-001",2
"B16080191-001",2
"B16080191-002",20
"B16080200-001",8
"B16080207-001",2
"B16080220-001",22
"B16080276-001",22
"B16080277-001",27
"B16080278-001",27
"B16080280-001",22
"B16080282-001",23
"B16080283-001",22
"B16080286-001",9
"B16080342-001",8
"B16080345-001",27
"B16080430-001",22
"B16080456-001",22
"B16080458-001",20
"B16080458-002",2
"B16080664-001",11
"B16080665-001",8
"B16080720-001",8
"B16080740-001",22
"B16080767-001",22
"B16080768-001",4
"B16080768-002",4
"B16080844-001",6
"B16080844-002",23
"B16080844-003",23
"B16080941-001",21
"B16080949-001",20
"B16080949-002",2
"B16080951-001",8
"B16080977-001",8
"B16081077-001",3
"B16081078-001",22
"B16081081-001",22
"B16081216-001",12
"B16081216-002",29
"B16081216-003",13
"B16081318-001",23
"B16081324-001",22
"B16081434-001",22
"B16081480-001",27
"B16081482-001",5
"B16081614-001",8
"B16081624-001",1
"B16081626-001",22
"B16081627-001",8
"B16081660-001",23
"B16081787-001",22
"B16081847-001",6
"B16081847-002",2
"B16082036-001",22
"B16082057-001",28
"B16082066-001",22
"B16082066-002",23
"B16082066-003",22
"B16082066-004",22
"B16082066-005",23
"B16082066-006",23
"B16082086-001",8
"B16082091-001",8
"B16082237-001",3
"B16082247-001",22
"B16082249-001",3
"B16082251-001",28
"B16082257-001",22
"B16082390-001",22
"B16082391-001",22
"B16082479-001",22
"B16082548-001",8
"B16082701-001",27
"B16082701-002",2
"B16082709-001",22
"B16082715-001",19
"B16082715-002",22
"B16082744-001",10
"B16082754-001",22
"B16082916-001",22
"B16082975-001",25
"B16082983-001",8
"B16082984-001",4
"B16082992-001",22
"B16090312-001",25
"B16090372-001",23
"B16090374-001",27
"B16090376-001",23
"B16090421-001",28
"B16090483-001",23
"B16090483-002",8
"B16090567-001",22
"B16090570-001",8
"B16090574-001",22
"B16090680-001",5
"B16090680-002",22
"B16090832-001",9
"B16090855-001",22
"B16091006-001",22
"B16091043-001",22
"B16091075-001",27
"B16091094-001",4
"B16091107-001",20
"B16091107-002",2
"B16091197-001",23
"B16091229-001",29
"B16091251-001",9
"B16091343-001",34
"B16091495-001",28
"B16091523-001",23
"B16091525-001",23
"B16091531-001",22
"B16091696-001",20
"B16091704-001",21
"B16091704-002",2
"B16091708-001",22
"B16091717-001",27
"B16091740-001",23
"B16091892-001",8
"B16091967-001",28
"B16091992-001",8
"B16092143-001",28
"B16092146-001",22
"B16092149-001",3
"B16092151-001",23
"B16092214-001",22
"B16092218-001",22
"B16092228-001",23
"B16092296-001",1
"B16092296-002",2
"B16092370-001",8
"B16092384-001",22
"B16100116-001",1
"B16100117-001",28
"B16100285-001",34
"B16100295-001",3
"B16100510-001",23
"B16100561-001",22
"B16100808-001",3
"B16100809-001",3
"B16100810-001",22
"B16100946-001",25
"B16100946-002",2
"B16101073-001",22
"B16101076-001",13
"B16101084-001",1
"B16101100-001",23
"B16101178-001",22
"B16101249-001",23
"B16101266-001",28
"B16101272-001",22
"B16101274-001",23
"B16101276-001",27
"B16101281-001",29
"B16101395-001",8
"B16101397-001",8
"B16101400-001",34
"B16101402-001",8
"B16101438-001",22
"B16101439-001",22
"B16101442-001",27
"B16101502-001",3
"B16101514-001",22
"B16101547-001",8
"B16101549-001",3
"B16101697-001",22
"B16101698-001",22
"B16101740-001",22
"B16101859-001",22
"B16101968-001",22
"B16101972-001",22
"B16101978-001",31
"B16102321-001",22
"B16102397-001",9
"B16102397-002",9
"B16102419-001",22
"B16110118-001",27
"B16110119-001",5
"B16110229-001",22
"B16110396-001",20
"B16110396-002",2
"B16110415-001",7
"B16110482-001",22
"B16110493-001",3
"B16110704-001",28
"B16110707-001",28
"B16110852-001",22
"B16110980-001",22
"B16110984-001",32
"B16111031-001",8
"B16111037-001",23
"B16111063-001",22
"B16111093-001",20
"B16111103-001",22
"B16111313-001",8
"B16111390-001",23
"B16111493-001",22
"B16111573-001",27
"B16111586-001",22
"B16111665-001",23
"B16111736-001",22
"B16111849-001",2
"B16111849-002",6
"B16111881-001",21
"B16111883-001",3
"B16112039-001",22
"B16112043-001",22
"B16112049-001",28
"B16112057-001",8
"B16112059-001",4
"B16112073-001",28
"B16112101-001",22
"B16112118-001",22
"B16112120-001",22
"B16112159-001",22
"B16112165-001",28
"B16112173-001",22
"B16112174-001",8
"B16112206-001",22
"B16120032-001",20
"B16120134-001",34
"B16120134-002",2
"B16120145-001",31
"B16120189-001",23
"B16120207-001",7
"B16120207-002",7
"B16120427-001",1
"B16120428-001",22
"B16120431-001",22
"B16120460-001",2
"B16120968-001",8
"B16120974-001",8
"B16120977-001",2
"B16120979-001",8
"B16120981-001",1
"B16120983-001",22
"B16121130-001",1
"B16121130-002",2
