"Lat","n"
45.61468,1
45.614695,1
45.61495,1
45.615466,1
45.615556,1
45.615796,1
45.616083,1
45.61616,1
45.6164,2
45.616611,1
45.6166577,1
45.616695,1
45.616992,1
45.61706,1
45.617071,1
45.6171,1
45.61739,1
45.6175883,1
45.617594,1
45.61772,1
45.617954,1
45.618755,1
45.619265,1
45.619443,1
45.620066,1
45.620139,1
45.620197,1
45.620225,1
45.6202258,1
45.620758,1
45.62166,1
45.622033,1
45.622515,1
45.622548,1
45.62312,1
45.6233,3
45.623317,1
45.62361111,2
45.62363,1
45.62377,1
45.623874,1
45.623935,1
45.6241667,1
45.625046,1
45.62516,1
45.625483,1
45.625639,1
45.62572,1
45.62597,1
45.62598,1
45.62628,1
45.62641,2
45.626582,1
45.6267,1
45.626792,1
45.62692,2
45.626961,2
45.62722,2
45.628355,1
45.628375,1
45.6287013,1
45.629107,1
45.629166,1
45.629315,2
45.630599,2
45.630752,1
45.630823,1
45.630827,1
45.6308611,2
45.630888,1
45.630916,1
45.6316,1
45.631699,1
45.6320582,1
45.632614,2
45.63309,1
45.63332,1
45.63335,1
45.634238,1
45.634243,1
45.634383,1
45.634714,1
45.63492,1
45.63557,1
45.636272,1
45.636364,2
45.636915,1
45.636944,1
45.63695,1
45.6371,1
45.637552,1
45.637769,1
45.63795,1
45.63825,1
45.638501,1
45.639024,1
45.639766,1
45.639852,1
45.640422,1
45.640648,1
45.64147,1
45.641589,1
45.6422,2
45.64269,1
45.643672,1
45.643877,2
45.643906,1
45.64453,1
45.644535,1
45.644769,1
45.64487,1
45.645884,1
45.646152,1
45.64645,1
45.646505,1
45.646571,1
45.646609,1
45.646851,1
45.646885,1
45.647023,1
45.6471,2
45.647339,1
45.64774,1
45.6481,1
45.648117,1
45.648301,1
45.64833,1
45.648346,1
45.648586,3
45.648838,1
45.648944,1
45.649193,1
45.6492746,1
45.6493,1
45.649722,1
45.64995,1
45.650069,3
45.650161,1
45.65119,1
45.651207,1
45.652096,1
45.6522,3
45.652254,1
45.652341,1
45.652405,1
45.652433,1
45.652554,1
45.65262,1
45.652733,1
45.652778,1
45.653028,1
45.65316,1
45.653224,1
45.653426,1
45.653523,1
45.653709,1
45.65383,1
45.653833,1
45.653863,1
45.654604,2
45.654771,1
45.654887,1
45.655068,1
45.656,1
45.65607,1
45.656104,1
45.656262,1
45.6565323,2
45.656608,1
45.6566418,1
45.65666,2
45.656667,1
45.656894,1
45.656896,1
45.657,1
45.657019,1
45.65735,5
45.657643,1
45.658016,1
45.658022,1
45.658064,1
45.658115,1
45.658345,1
45.659024,1
45.659101,1
45.659395,2
45.6594,2
45.659627,1
45.659736,1
45.65977,1
45.659797,1
45.659842,1
45.660268,1
45.661099,1
45.661136,1
45.661333,1
45.661336,1
45.661344,1
45.661682,1
45.661697,1
45.662429,1
45.662701,1
45.663106,1
45.663114,1
45.663117,1
45.663174,1
45.6634,1
45.663451,1
45.66354,1
45.663677,1
45.6637929,2
45.664279,1
45.66454,1
45.664826,1
45.664916,1
45.664987,1
45.66505,1
45.665075,1
45.665719,1
45.665833,1
45.665858,1
45.666452,1
45.666642,1
45.666722,2
45.666724,1
45.666839,1
45.667111,1
45.667506,1
45.667553,1
45.667715,1
45.667821,1
45.667883,1
45.667939,1
45.667965,1
45.668012,1
45.668091,1
45.6688,1
45.66922,1
45.669382,1
45.669509,1
45.6704,1
45.671939,1
45.671944,1
45.672,1
45.673769,1
45.674095,1
45.674217,1
45.674583,1
45.674682,1
45.6754856,1
45.677056,1
45.677253,1
45.677936,1
45.6780706,1
